id,name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class
1,aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
2,antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
3,bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
4,bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
5,boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
6,buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
7,calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
8,carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
9,catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
10,cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1
11,cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
12,chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
13,chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
14,clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7
15,crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7
16,crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
17,crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
18,deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
19,dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
20,dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
21,dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
22,duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2
23,elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
24,flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
25,flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
26,frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5
27,frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5
28,fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
29,giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
30,girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1
31,gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
32,goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
33,gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1
34,gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
35,haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
36,hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
37,hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
38,hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
39,herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
40,honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6
41,housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
42,kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2
43,ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6
44,lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
45,leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
46,lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
47,lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
48,lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
49,mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1
50,mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
51,mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
52,moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
53,newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5
54,octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7
55,opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
56,oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
57,ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
58,parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
59,penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2
60,pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
61,pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
62,piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
63,pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
64,platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1
65,polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
66,pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
67,porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
68,puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
69,pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
